,player_name,correct_type,pitch_type
0,"Arias, Gabriel",B,12
1,"Arias, Gabriel",S,9
2,"Bell, Josh",B,28
3,"Bell, Josh",S,26
4,"Brennan, Will",B,14
5,"Brennan, Will",S,15
6,"Calhoun, Kole",B,1
7,"Freeman, Tyler",B,5
8,"Freeman, Tyler",S,2
9,"Fry, David",B,4
10,"Fry, David",S,6
11,"Gallagher, Cam",B,7
12,"Gallagher, Cam",S,4
13,"Giménez, Andrés",B,21
14,"Giménez, Andrés",S,25
15,"Gonzalez, Oscar",B,5
16,"Gonzalez, Oscar",S,6
17,"Kwan, Steven",B,49
18,"Kwan, Steven",S,42
19,"Laureano, Ramón",B,1
20,"Laureano, Ramón",S,1
21,"Naylor, Bo",B,4
22,"Naylor, Bo",S,13
23,"Naylor, Josh",B,8
24,"Naylor, Josh",S,18
25,"Ramírez, José",B,33
26,"Ramírez, José",S,30
27,"Rocchio, Brayan",B,5
28,"Rocchio, Brayan",S,1
29,"Rosario, Amed",B,21
30,"Rosario, Amed",S,15
31,"Straw, Myles",B,29
32,"Straw, Myles",S,40
33,"Tena, José",B,1
34,"Tena, José",S,2
35,"Viloria, Meibrys",S,2
36,"Zunino, Mike",B,12
37,"Zunino, Mike",S,23
