,player_name,B,S,batter_team
0,A.J. Pollock-SEA,9.0,7.0,SEA
1,A.J. Pollock-SF,1.0,2.0,SF
2,Aaron Hicks-BAL,13.0,9.0,BAL
3,Aaron Hicks-NYY,11.0,6.0,NYY
4,Aaron Judge-NYY,34.0,21.0,NYY
5,Abraham Almonte-NYM,2.0,1.0,NYM
6,Abraham Toro-MIL,2.0,0.0,MIL
7,Adam Duvall-BOS,25.0,10.0,BOS
8,Adam Frazier-BAL,35.0,19.0,BAL
9,Adam Haseley-CWS,3.0,5.0,CWS
10,Adley Rutschman-BAL,62.0,27.0,BAL
11,Adolis Garcia-TEX,54.0,34.0,TEX
12,Akil Baddoo-DET,13.0,22.0,DET
13,Alan Trejo-COL,10.0,10.0,COL
14,Alec Bohm-PHI,17.0,29.0,PHI
15,Alec Burleson-STL,21.0,15.0,STL
16,Aledmys Diaz-OAK,12.0,11.0,OAK
17,Alejandro Kirk-TOR,36.0,23.0,TOR
18,Alek Thomas-AZ,18.0,26.0,AZ
19,Alex Bregman-HOU,61.0,33.0,HOU
20,Alex Call-WSH,42.0,25.0,WSH
21,Alex Kirilloff-MIN,27.0,8.0,MIN
22,Alex Verdugo-BOS,37.0,50.0,BOS
23,Alfonso Rivas-PIT,3.0,1.0,PIT
24,Alfonso Rivas-SD,0.0,2.0,SD
25,Amed Rosario-CLE,21.0,15.0,CLE
26,Amed Rosario-LAD,2.0,2.0,LAD
27,Andres Gimenez-CLE,21.0,25.0,CLE
28,Andrew Benintendi-CWS,20.0,30.0,CWS
29,Andrew Knizner-STL,4.0,6.0,STL
30,Andrew McCutchen-PIT,38.0,37.0,PIT
31,Andrew Vaughn-CWS,42.0,22.0,CWS
32,Andrew Velazquez-LAA,5.0,2.0,LAA
33,Andruw Monasterio-MIL,14.0,17.0,MIL
34,Andy Ibanez-DET,25.0,12.0,DET
35,Anthony Rendon-LAA,23.0,10.0,LAA
36,Anthony Rizzo-NYY,47.0,37.0,NYY
37,Anthony Santander-BAL,41.0,18.0,BAL
38,Anthony Volpe-NYY,33.0,24.0,NYY
39,Austin Barnes-LAD,8.0,14.0,LAD
40,Austin Hays-BAL,34.0,19.0,BAL
41,Austin Hedges-PIT,12.0,12.0,PIT
42,Austin Hedges-TEX,1.0,1.0,TEX
43,Austin Meadows-DET,1.0,0.0,DET
44,Austin Nola-SD,11.0,21.0,SD
45,Austin Riley-ATL,37.0,34.0,ATL
46,Austin Slater-SF,16.0,5.0,SF
47,Austin Wynns-COL,10.0,3.0,COL
48,Austin Wynns-LAD,3.0,1.0,LAD
49,Avisail Garcia-MIA,9.0,2.0,MIA
50,Ben Rortvedt-NYY,2.0,1.0,NYY
51,Billy McKinney-NYY,11.0,8.0,NYY
52,Blake Perkins-MIL,14.0,12.0,MIL
53,Blake Rutherford-WSH,1.0,1.0,WSH
54,Blake Sabol-SF,22.0,14.0,SF
