,player_name,B,S,ball,called_strike,missed_call_dre_B,missed_call_dre_S,batter_team
0,A.J. Pollock-SEA,9.0,7.0,169.0,73.0,-1.096,0.9339999999999999,SEA
1,A.J. Pollock-SF,1.0,2.0,13.0,5.0,-0.07500000000000001,0.14900000000000002,SF
2,Aaron Hicks-BAL,13.0,9.0,247.0,141.0,-1.5830000000000002,1.2189999999999999,BAL
3,Aaron Hicks-NYY,11.0,6.0,112.0,53.0,-1.6640000000000001,0.627,NYY
4,Aaron Judge-NYY,34.0,21.0,459.0,190.0,-4.257,2.5570000000000004,NYY
5,Abraham Almonte-NYM,2.0,1.0,11.0,6.0,-0.389,0.036000000000000004,NYM
6,Abraham Toro-MIL,2.0,0.0,17.0,18.0,-0.09100000000000001,0.0,MIL
7,Adam Duvall-BOS,25.0,10.0,260.0,153.0,-4.345,1.292,BOS
8,Adam Frazier-BAL,35.0,19.0,443.0,252.0,-3.974,1.574,BAL
9,Adam Haseley-CWS,3.0,5.0,41.0,14.0,-0.462,0.542,CWS
10,Adley Rutschman-BAL,62.0,27.0,777.0,441.0,-7.447999999999998,3.4380000000000006,BAL
11,Adolis Garcia-TEX,54.0,34.0,705.0,303.0,-8.189999999999998,6.564,TEX
12,Akil Baddoo-DET,13.0,22.0,347.0,138.0,-1.6520000000000001,4.668,DET
13,Alan Trejo-COL,10.0,10.0,208.0,101.0,-1.5200000000000002,0.9279999999999999,COL
14,Alec Bohm-PHI,17.0,29.0,534.0,258.0,-4.3180000000000005,4.461,PHI
15,Alec Burleson-STL,21.0,15.0,283.0,142.0,-3.741,1.6480000000000001,STL
16,Aledmys Diaz-OAK,12.0,11.0,263.0,145.0,-1.058,1.0310000000000001,OAK
17,Alejandro Kirk-TOR,36.0,23.0,408.0,272.0,-4.555,3.7640000000000002,TOR
18,Alek Thomas-AZ,18.0,26.0,303.0,178.0,-2.545,3.0530000000000004,AZ
19,Alex Bregman-HOU,61.0,33.0,816.0,398.0,-7.7310000000000025,4.500000000000001,HOU
20,Alex Call-WSH,42.0,25.0,589.0,322.0,-6.430000000000001,3.157,WSH
21,Alex Kirilloff-MIN,27.0,8.0,338.0,183.0,-3.3370000000000006,0.627,MIN
22,Alex Verdugo-BOS,37.0,50.0,632.0,414.0,-4.078,6.362,BOS
23,Alfonso Rivas-PIT,3.0,1.0,62.0,37.0,-0.535,0.245,PIT
24,Alfonso Rivas-SD,0.0,2.0,30.0,19.0,0.0,0.295,SD
25,Amed Rosario-CLE,21.0,15.0,445.0,223.0,-1.9860000000000002,1.642,CLE
26,Amed Rosario-LAD,2.0,2.0,36.0,22.0,-0.145,0.258,LAD
27,Andres Gimenez-CLE,21.0,25.0,519.0,242.0,-1.9049999999999998,2.632,CLE
28,Andrew Benintendi-CWS,20.0,30.0,592.0,270.0,-2.4890000000000003,3.7350000000000003,CWS
29,Andrew Knizner-STL,4.0,6.0,143.0,71.0,-0.523,0.6000000000000001,STL
