"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-08-08","96.2","2.65","5.09","Arias, Gabriel",672356,579328,,"ball",,,,,12,"Gabriel Arias strikes out swinging.","R","R","L","CLE","TOR","B",,,0,2,2023,"0.72","1.25","0.92","3.65",,677587,,2,7,"Bot",,,,,643376,,,-6.29985561785654,-140.07536580380057,-1.0786685183077704,10.92795580987498,31.48631450846229,-15.693514896255508,"3.41","1.54",,,,"97.5",2324,"7",717074,579328,643376,665489,624415,669289,657557,593160,662139,543807,"53.53",,,,,,,,52,3,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",134,"0","0.023"
"FF","2023-08-08","95.5","2.61","5.07","Arias, Gabriel",672356,579328,,"called_strike",,,,,8,"Gabriel Arias strikes out swinging.","R","R","L","CLE","TOR","S",,,0,1,2023,"0.72","1.2","0.15","2.17",,677587,,2,7,"Bot",,,,,643376,,,-8.183713632258632,-138.82144531948916,-4.73889894136697,11.116338614378998,30.17011777235384,-15.818846413649416,"3.59","1.63",,,,"96.5",2298,"6.9",717074,579328,643376,665489,624415,669289,657557,593160,662139,543807,"53.62",,,,,,,,52,2,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",131,"0","-0.066"
"CU","2023-08-08","82.6","1.92","5.5","Arias, Gabriel",672356,579328,,"called_strike",,,,,8,"Gabriel Arias strikes out swinging.","R","R","L","CLE","TOR","S",,,0,0,2023,"-0.52","-0.33","0","2.16",,677587,,2,7,"Bot",,,,,643376,,,-3.415702170179837,-120.35092522785764,-0.5185117160424491,-4.423087026848854,22.157012356039168,-35.46946248995902,"3.51","1.61",,,,"83.8",2489,"6.9",717074,579328,643376,665489,624415,669289,657557,593160,662139,543807,"53.6",,,,,,,,52,1,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",301,"0","-0.058"
"CU","2023-08-08","80.6","2.01","5.48","Rocchio, Brayan",677587,579328,,"called_strike",,,,,9,"Brayan Rocchio doubles (2) on a line drive to left fielder Whit Merrifield.","R","R","L","CLE","TOR","S",,,2,1,2023,"-0.57","-0.18","0.75","1.82",,,,2,7,"Bot",,,,,643376,,,-1.7404972396569938,-117.44830271922628,-1.196502292489163,-4.9689388540774555,20.186829090983803,-33.87206985712501,"3.05","1.4",,,,"82",2513,"7",717074,579328,643376,665489,624415,669289,657557,593160,662139,543807,"53.54",,,,,,,,51,4,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",310,"0","-0.033"
"FF","2023-08-08","95.3","2.59","5.07","Rocchio, Brayan",677587,579328,,"ball",,,,,13,"Brayan Rocchio doubles (2) on a line drive to left fielder Whit Merrifield.","R","R","L","CLE","TOR","B",,,1,1,2023,"0.7","1.03","-1.07","1.87",,,,2,7,"Bot",,,,,643376,,,-11.310088974419378,-138.44937360874732,-5.201440691320456,11.250842718972365,27.114868460391133,-17.928012031651498,"3.18","1.48",,,,"96.9",2188,"7",717074,579328,643376,665489,624415,669289,657557,593160,662139,543807,"53.49",,,,,,,,51,3,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",132,"0","0.022"
"CU","2023-08-08","82.5","1.91","5.45","Rocchio, Brayan",677587,579328,,"ball",,,,,14,"Brayan Rocchio doubles (2) on a line drive to left fielder Whit Merrifield.","R","R","L","CLE","TOR","B",,,0,1,2023,"-0.46","-0.76","0.14","0.61",,,,2,7,"Bot",,,,,643376,,,-3.191233466621285,-120.1956504922041,-3.1326164291982854,-3.9146068436484946,21.076876544432345,-39.19546086588159,"3.08","1.38",,,,"84.1",2680,"7.1",717074,579328,643376,665489,624415,669289,657557,593160,662139,543807,"53.43",,,,,,,,51,2,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",316,"0","0.014"
"FF","2023-08-08","95.2","2.61","5.06","Laureano, Ramón",657656,579328,"strikeout","called_strike",,,,,11,"Ramon Laureano called out on strikes.","R","R","L","CLE","TOR","S",2,,2,2,2023,"0.68","1.05","-0.89","2.5",,,,1,7,"Bot",,,,,643376,,,-10.84001133289994,-138.3653507441117,-3.5019677074902162,10.982975339083648,28.360057877176924,-18.09130915634235,"3.24","1.53",,,,"96.7",2183,"7",717074,579328,643376,665489,624415,669289,657557,593160,662139,543807,"53.49",,,"0",1,0,0,,50,6,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",134,"-0.014","-0.147"
"FF","2023-08-08","96","2.62","5.09","Laureano, Ramón",657656,579328,,"ball",,,,,12,"Ramon Laureano called out on strikes.","R","R","L","CLE","TOR","B",,,1,2,2023,"0.85","1.02","1.56","2.57",,,,1,7,"Bot",,,,,643376,,,-4.805437288302844,-139.75014777380966,-3.4632826717661604,12.183857127409302,29.318222520085758,-18.154396471274776,"3.24","1.5",,,,"97.8",2273,"7.2",717074,579328,643376,665489,624415,669289,657557,593160,662139,543807,"53.35",,,,,,,,50,5,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",132,"0","0.029"
"CH","2023-08-08","87.8","2.36","5.06","Laureano, Ramón",657656,579328,,"ball",,,,,14,"Ramon Laureano called out on strikes.","R","R","L","CLE","TOR","B",,,0,2,2023,"0.69","0.39","1.48","1.05",,,,1,7,"Bot",,,,,643376,,,-3.605063509757592,-127.89547393312266,-4.535858359591445,8.269765287379881,23.18190090649842,-27.191112740596314,"3.16","1.45",,,,"89.4",1470,"7",717074,579328,643376,665489,624415,669289,657557,593160,662139,543807,"53.53",,,,,,,,50,3,"Changeup",1,0,1,0,0,1,1,0,"Standard","Standard",132,"0","0.013"
"SL","2023-08-08","87.4","2.38","5.19","Gonzalez, Oscar",660757,579328,,"ball",,,,,13,"Oscar Gonzalez grounds out, second baseman Cavan Biggio to first baseman Vladimir Guerrero Jr.","R","R","L","CLE","TOR","B",,,1,2,2023,"-0.13","0.26","-0.31","-0.23",,,,0,7,"Bot",,,,,643376,,,-6.295307842355726,-126.98567380555879,-7.502655148495057,-0.08868413560122895,26.575918330302212,-27.991391509901263,"3.45","1.68",,,,"88.5",2442,"7.1",717074,579328,643376,665489,624415,669289,657557,593160,662139,543807,"53.42",,,,,,,,49,4,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",265,"0","0.037"
